"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6234","Test for password mismatch confirmation","","Wed Sep 25 13:10:00 AMT 2024","passed","Wed Sep 25 13:10:06 AMT 2024","","test_main","",""
"","14194","Test for invalid login","","Wed Sep 25 13:09:30 AMT 2024","passed","Wed Sep 25 13:09:45 AMT 2024","","test_main","",""
"","8764","Test for changing password with incorrect current password","","Wed Sep 25 13:09:51 AMT 2024","passed","Wed Sep 25 13:10:00 AMT 2024","","test_main","",""
"","7303","Test for successful password change","","Wed Sep 25 13:10:06 AMT 2024","passed","Wed Sep 25 13:10:13 AMT 2024","","test_main","",""
"","6619","Test for successful login","","Wed Sep 25 13:09:45 AMT 2024","passed","Wed Sep 25 13:09:51 AMT 2024","","test_main","",""
